ip_address,country_name,abuse_score,attack_categories,total_reports,isp,is_tor,last_reported_at
45.148.10.157,Netherlands,100,"DDoS Attack, FTP Brute-Force, Ping of Death, Web Spam, Email Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, SSH Abuse",400637,TECHOFF SRV LIMITED,False,2026-07-31
193.46.255.86,United Kingdom,100,"Port Scan, Brute-Force, Web App Attack, SSH Abuse",113784,UNMANAGED LTD,False,2026-07-31
91.232.247.229,Czech Republic,100,"Web Spam, Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",900,ELDATA prazska s.r.o.,False,2026-07-31
94.154.43.230,Netherlands,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Exploited Host, Web App Attack, SSH Abuse",10167,Storm Industries LLC,False,2026-07-31
193.163.125.79,United Kingdom,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",11775,Driftnet Ltd,False,2026-07-31
80.87.206.20,Netherlands,100,"Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack",1871,Alliance LLC,False,2026-07-31
4.184.60.71,Germany,100,"DNS Compromise, DNS Poisoning, DDoS Attack, Ping of Death, Web Spam, Email Spam, Blog Spam, Port Scan, Hacking, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse",799,Microsoft Corporation,False,2026-07-31
78.128.112.6,Bulgaria,100,"Port Scan, Hacking, Brute-Force, Exploited Host",13519,Lir.bg EOOD,False,2026-07-31
185.247.137.21,United Kingdom,100,"DDoS Attack, Phishing, Email Spam, VPN IP, Port Scan, Hacking, Spoofing, Brute-Force, Bad Web Bot, Exploited Host, Web App Attack, SSH Abuse, IoT Targeted",1418,Driftnet Ltd,False,2026-07-31
77.90.185.20,Germany,100,"Email Spam, Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",14793,Limited Network LTD,False,2026-07-31
2.57.121.25,United Kingdom,100,"FTP Brute-Force, Port Scan, Hacking, Brute-Force, Web App Attack, SSH Abuse",755732,UNMANAGED LTD,False,2026-07-31
